Street,FA,Count of Uid,Lat,Lng
98-40 64th Avenue,FA11,4,"407,306,556","-738,569,351"
98-41 64th Road,FA11,4,"407,301,941","-738,567,161"
98-50 63rd Drive,FA11,2,"40,731,349","-738,569,242"
99 Battery Pl,FA6,1,"407,076,052","-740,166,314"
99 Battery Pl,FA16,10,"407,076,052","-740,166,314"
99 Battery Pl,Mitch,23,"407,076,052","-740,166,314"
99 Hudson St,FA11,13,"407,153,271","-740,345,928"
99 Hudson St,Mitch,2,"407,153,271","-740,345,928"
99 John St,FA16,1,"407,083,595","-740,060,041"
99 John St,Mitch,29,"407,083,595","-740,060,041"
99-05 63rd Drive,FA11,1,"407,319,245","-738,564,984"
99-21 67th Road,FA11,7,"407,245,157","-738,544,195"
99-31 64th Avenue,FA11,2,"40,731,599","-738,553,459"
99-32 66th Road,FA11,1,"40,727,582","-738,535,735"
99-34 67th Road,FA11,3,"407,245,534","-738,535,349"
99-40 63rd Road,FA11,11,"407,324,206","-738,555,724"
99-41 64th Avenue,FA11,2,"4,073,177","-7,385,476"
99-45 67th Road,FA11,9,"407,249,612","-738,541,737"
99-52 66th Rd,FA11,2,"407,282,606","-73,852,283"
99-52 66th Road,FA11,5,"407,278,412","-73,852,798"
99-52 66th Road,Mitch,1,"407,278,412","-73,852,798"
99-60 63rd Road,FA11,4,"407,327,398","-738,547,657"
99-60 64th Avenue,FA11,2,"407,315,183","-738,537,612"
99-65 64th Road,FA11,4,"40,731,105","-738,535,585"
99-65 64th Road,Mitch,1,"40,731,105","-738,535,585"
99-72 66th Road,FA11,8,"407,281,145","-738,525,308"
100 Avenue P,FA3,2,"406,072,346","-739,847,935"
100 Avenue P,FA11,3,"406,072,346","-739,847,935"
100 Broadway,Mitch,1,"407,103,015","-739,652,302"
100 Christopher Columbus Dr,FA3,5,"407,195,249","-740,418,236"
100 Clifton Place,FA2,8,"407,209,468","-740,639,996"
100 Clifton Place,FA11,2,"407,209,468","-740,639,996"
100 Dudley Street,Mitch,12,"407,126,771","-740,389,113"
100 East 118th Street,Mitch,3,"40,800,333","-73,942,067"
100 Maiden Ln,Mitch,61,"407,066,745","-740,071,976"
100 Manhattan Ave,FA8,2,"407,516,276","-740,374,459"
100 Manhattan Ave,Mitch,1,"407,516,276","-740,374,459"
100 Maolis Avenue,Mitch,1,"407,896,409","-742,068,864"
100 Montgomery Street,FA8,5,"407,171,519","-740,380,451"
100 South 4th Street,Mitch,6,"407,119,959","-73,963,812"
100 W 93rd St,FA12,4,"407,909,115","-739,695,534"
100 Warren St,Mitch,6,"407,116,508","-740,392,154"
100-11 67th Rd,FA11,12,"407,258,613","-738,538,407"
101 Bedford Avenue,Mitch,21,"407,202,946","-739,544,731"
101 Clinton Street,FA1,1,"407,384,886","-740,352,067"
101 East Glade Road,Dallas FA 2,23,"328,815,467","-970,742,807"
101 South Center Street,Dallas FA 2,10,"327,360,773","-971,067,559"
101-01 67th Drive,FA11,3,"407,251,876","-738,525,197"
101-125 West 147th Street,Mitch,1,"408,221,201","-739,354,769"
102-17 64th Road,FA11,3,"407,314,663","-738,527,035"
102-18 64th Avenue,FA11,1,"407,318,391","-738,526,116"
102-21 63rd Road,FA11,3,"407,333,805","-738,539,439"
102-30 66th Road,FA11,13,"407,284,716","-738,505,211"
102-30 Queens Boulevard,FA11,7,"407,251,558","-738,511,196"
102-35 64th Road,FA11,1,"407,317,512","-738,520,435"
102-36 64th Avenue,FA11,3,"407,319,994","-738,521,553"
102-36 64th Avenue,Mitch,1,"407,319,994","-738,521,553"
102-40 62nd Avenue,FA11,1,"407,359,557","-738,544,212"
102-45 62nd Road,FA11,3,"407,356,394","-738,543,574"
102-50 62nd Road,FA11,1,"407,353,815","-738,538,544"
103 Roosevelt Avenue,FA3,1,"407,495,828","-738,630,822"
103-11 68th Drive,FA11,7,"407,241,595","-738,506,846"
104 68th Avenue,FA11,1,"407,263,766","-738,485,433"
104-20 68th Drive,FA11,5,"407,246,372","-738,485,459"
104-20 Queens Blvd,FA11,6,"407,240,354","-738,500,872"
104-20 Queens Boulevard,FA11,8,"40,723,795","-738,501,057"
104-40 Queens Boulevard,FA11,2,"407,230,685","-738,506,397"
104-60 Queens Boulevard,FA11,12,"407,231,053","-738,491,236"
105 Avenue P,FA11,2,"406,078,529","-739,842,426"
105 Duane St,Mitch,25,"407,157,785","-740,058,893"
105 Leonard Street,Mitch,1,"407,072,768","-739,469,137"
105 South 4th Street,Mitch,1,"407,123,873","-739,638,229"
105-07 66th Road,FA11,2,"40,729,431","-738,491,494"
105-10 66th Avenue,FA11,1,"40,729,567","-738,498,564"
105-15 66th Road,FA11,3,"407,295,656","-738,487,325"
105-20 66th Avenue,FA11,2,"40,729,395","-738,496,789"
105-20 66th Road,FA11,1,"407,291,893","-738,486,604"
105-24 64th Road,FA11,1,"407,315,209","-738,504,364"
105-25 65th Avenue,FA11,4,"407,313,315","-738,503,125"
105-25 67th Avenue,FA11,3,"407,288,352","-738,484,021"
105-25 67th Road,FA11,1,"407,282,056","-73,848,119"
105-30 66th Avenue,FA11,2,"407,299,065","-738,488,413"
105-37 64th Avenue,FA11,1,"407,331,202","-738,505,707"
105-37 65th Avenue,FA4,1,"407,314,869","-738,497,889"
105-37 65th Avenue,FA11,2,"407,314,869","-738,497,889"
105-38 63rd Drive,FA11,1,"407,332,483","-738,506,945"
105-38 64th Road,FA4,1,"407,316,491","-738,500,977"
105-38 64th Road,FA11,2,"407,316,491","-738,500,977"
105-40 62nd Road,FA11,2,"407,359,037","-738,519,356"
105-40 62nd Road,Mitch,1,"407,359,037","-738,519,356"
106 Avenue P,FA11,2,"406,073,626","-739,840,589"
106-15 Queens Boulevard,FA11,2,"40,722,924","-73,846,146"
108 Leonard Street,FA2,1,"407,163,451","-740,034,377"
108-20 62nd Drive,FA11,1,"407,357,148","-738,499,998"
108-24 71st Avenue,FA11,5,"407,218,798","-738,423,189"
108-25 72nd Avenue,FA3,7,"40,720,213","-73,842,427"
108-48 70th Road,FA11,3,"40,722,633","-73,842,228"
108-48 70th Road,Mitch,1,"40,722,633","-73,842,228"
108-49 63rd Avenue,FA4,1,"407,355,842","-738,491,198"
108-49 63rd Avenue,FA11,4,"407,355,842","-738,491,198"
108-50 62nd Drive,FA4,3,"40,736,005","-73,849,174"
108-50 62nd Drive,FA11,4,"40,736,005","-73,849,174"
108-50 71st Avenue,FA11,3,"407,220,064","-738,419,148"
108-50 Queens Boulevard,FA11,1,"407,204,647","-738,426,177"
108-53 62nd Drive,FA11,2,"407,366,074","-738,494,493"
108-60 Horace Harding Expressway,FA11,16,"407,373,537","-73,849,641"
108-60 Horace Harding Expressway,Mitch,1,"407,373,537","-73,849,641"
108-75 62nd Drive,FA3,1,"407,366,926","-738,488,836"
108-75 62nd Drive,FA11,14,"407,366,926","-738,488,836"
108-75 62nd Drive,Mitch,1,"407,366,926","-738,488,836"
108-100 67th Road,FA11,2,"407,286,816","-73,845,173"
