Street,FA,Count of Uid,Lat,Lng
555 10th Ave,FA1,14,"4,075,893","-739,963,346"
555 10th Ave,FA6,1,"4,075,893","-739,963,346"
555 10th Ave,FA16,18,"4,075,893","-739,963,346"
555 Ocean Avenue,FA16,1,"4,064,933","-739,605,198"
555 Promenade Parkway,Dallas FA 1,19,"328,751,143","-96,936,907"
555 Ross Avenue,Dallas FA 1,3,"327,820,235","-968,082,802"
555 Ross Avenue,FA9,2,"327,820,235","-968,082,802"
555 W 43rd St,FA10,13,"40,761,461","-739,973,651"
555 West 10th Street,FA16,1,"407,332,178","-740,097,553"
555 West 38th Street,FA10,1,"407,582,839","-739,997,631"
555 West 38th Street,FA16,8,"407,582,839","-739,997,631"
555 West 38th Street,Mitch,1,"407,582,839","-739,997,631"
555 West 52nd Street,FA8,1,"407,670,979","-739,931,014"
557 East 21st Street,Mitch,1,"406,404,816","-739,579,766"
560 W 43rd St,FA10,23,"407,611,686","-739,977,459"
560 W 43rd St,FA16,24,"407,611,686","-739,977,459"
561 10th Ave,FA16,26,"407,592,479","-739,960,668"
562 West End Avenue,FA14,3,"407,896,709","-739,769,193"
568 Grand St,Mitch,2,"407,142,822","-739,792,183"
568 Union Avenue,Mitch,14,"407,178,417","-739,518,014"
570 Grand St,Mitch,4,"407,140,634","-73,978,966"
572 11th Avenue,FA10,2,"407,616,087","-739,974,723"
572 Grand Street,Mitch,2,"407,139,686","-739,792,243"
573 Grand Street,Mitch,5,"407,128,994","-739,791,921"
577 Grand Street,Mitch,9,"407,128,963","-739,793,996"
590 Ocean Avenue,Mitch,1,"406,483,758","-739,611,767"
594 Humboldt Street,Mitch,1,"407,222,341","-739,446,768"
595 Dean St,Mitch,1,"40,680,949","-73,969,421"
600 Harrison Street,FA1,1,"407,457,921","-740,402,497"
600 Studemont Street,Houston FA 1,12,"297,664,273","-95,391,951"
600 Studemont Street,Mitch,1,"297,664,273","-95,391,951"
601 East 20th Street,Mitch,9,"407,334,017","-739,750,661"
601 Summit Avenue,Mitch,21,"327,311,794","-971,214,278"
602 Avenue T,FA11,1,"405,999,312","-739,649,582"
605 West 42nd Street,FA16,31,"407,614,804","-739,986,128"
609 Columbus Ave,FA14,6,"407,887,084","-739,700,091"
615 East 14th Street,Mitch,6,"407,294,292","-739,769,944"
616 Memorial Heights Drive,Houston FA 1,12,"297,650,221","-953,893,539"
620 East 20th Street,Mitch,13,"407,326,138","-739,748,294"
620 W 42nd St,FA16,41,"407,608,191","-739,994,156"
623 Union Avenue,Mitch,1,"40,719,092","-73,952,703"
624 East 20th Street,Mitch,4,"407,320,205","-739,758,297"
625 East 14th Street,Mitch,9,"407,291,361","-739,772,798"
625 Ocean Avenue,Mitch,1,"406,476,164","-739,601,598"
626 10th Avenue,Mitch,5,"407,611,439","-739,941,353"
626 East 20th Street,Mitch,1,"407,318,103","-739,754,645"
626 first ave,Mitch,1,"40,744,775","-739,725,467"
630 Ocean Ave,Mitch,6,"406,474,571","-739,608,447"
635 East 14th Street,Mitch,11,"407,290,511","-739,760,708"
645 East 14th Street,Mitch,2,"407,290,285","-739,760,167"
645 Ocean Avenue,Mitch,2,"406,470,761","-739,602,325"
649 East 14th Street,Mitch,7,"40,730,356","-73,977,063"
650 Ocean Avenue,Mitch,8,"40,646,783","-739,605,827"
651 West 168th Street,Mitch,1,"408,419,265","-739,414,385"
653 East 14th Street,Mitch,9,"407,301,095","-739,764,284"
655 East 14th Street,Mitch,5,"407,300,751","-739,760,403"
655 Promenade Pkwy,Dallas FA 2,25,"32,874,322","-96,934,624"
655 Promenade Pkwy,Mitch,1,"32,874,322","-96,934,624"
659 Ocean Avenue,Mitch,5,"406,466,463","-739,599,991"
666 Ocean Avenue,Mitch,5,"406,464,544","-739,607,113"
666 W End Ave,FA14,3,"407,926,937","-739,745,777"
667 Ocean Avenue,Mitch,6,"406,464,434","-739,600,679"
676 Riverside Drive,FA6,2,"408,267,094","-739,520,091"
681 Ocean Avenue,Mitch,3,"406,461,935","-739,599,247"
683 Barbey Street,Mitch,2,"406,656,942","-738,855,058"
697 W End Ave,FA14,4,"407,938,451","-739,746,132"
698 10th Avenue,Mitch,1,"407,637,742","-73,992,032"
699 Ocean Avenue,Mitch,6,"406,456,993","-739,599,388"
700 1st St,FA8,11,"407,397,616","-740,422,654"
700 Cobia Drive,Houston FA 3,19,"297,695,022","-957,832,544"
700 Grove St,FA8,6,"40,735,877","-740,396,515"
700 Ocean Avenue,Mitch,2,"406,457,081","-73,960,684"
700 West Mitchell Circle,Dallas FA 2,1,"327,266,554","-971,155,166"
701 Cleveland Street,Houston FA 1,2,"297,540,592","-953,755,526"
702 Cleveland Street,Houston FA 1,5,"297,550,014","-953,756,752"
706 West Mitchell Circle,Dallas FA 2,1,"327,258,704","-971,162,408"
707 Robin Street,Houston FA 1,7,"29,756,194","-953,754,699"
707 Saulnier Street,Houston FA 1,13,"2,975,689","-95,375,519"
708 Ocean Avenue,Mitch,2,"40,645,483","-739,603,658"
711 Amsterdam Avenue,FA14,3,"407,929,157","-739,707,784"
711 Ocean Avenue,Mitch,3,"406,454,298","-739,598,598"
711 Walton Avenue,FA4,1,"408,236,368","-739,264,293"
715 West Slaughter Lane,Mitch,12,"301,711,427","-978,023,401"
716 Ocean Avenue,Mitch,3,"406,452,621","-739,605,556"
717 West Mitchell Circle,Dallas FA 2,1,"327,263,492","-971,151,874"
718 Hayes Road,Houston FA 1,1,"297,573,698","-95,576,827"
720 West 26th Street,Mitch,32,"298,096,503","-954,118,571"
721 Columbus Avenue,FA1,1,"407,922,039","-739,676,946"
721 Walton Avenue,FA4,1,"408,242,669","-739,262"
730 Columbus Ave,FA14,3,"407,927,409","-739,679,887"
747 10th Ave,FA8,2,"407,650,511","-739,919,558"
747 10th Ave,Mitch,7,"407,650,511","-739,919,558"
750 Columbus Ave,FA14,4,"40,793,337","-73,967,587"
750 Ocean Avenue,Mitch,2,"406,443,144","-739,604,582"
750 Rockaway Avenue,FA11,1,"406,614,831","-739,089,676"
752 West End Ave,FA14,6,"407,956,911","-739,726,615"
754 Mace Avenue,Mitch,1,"408,629,115","-738,650,161"
755 Narrows Road North,Mitch,1,"406,112,436","-740,942,048"
755 Ocean Avenue,Mitch,4,"406,442,756","-739,594,644"
757 Bushwick Avenue,Mitch,1,"406,956,878","-739,287,719"
770 Jackson St,FA1,1,"40,747,177","-74,038,961"
770 Jackson St,FA8,7,"40,747,177","-74,038,961"
774 Rockaway Avenue,FA11,1,"406,607,732","-739,087,532"
784 Columbus Ave,FA16,6,"407,942,183","-739,675,296"
784 Grand Avenue,FA16,1,"408,428,604","-740,053,384"
788 Columbus Ave,FA16,3,"407,950,157","-739,677,132"
790 11th Ave,FA10,1,"407,477,571","-740,078,926"
792 Columbus Ave,FA14,4,"407,954,761","-739,666,112"
792 Communipaw Avenue,FA14,1,"407,209,444","-740,808,188"
800 Barker Cypress Road,Houston FA 3,1,"297,854,846","-956,882,494"
800 Bering Drive,Dallas FA 2,1,"327,255,772","-971,168,195"
800 Jefferson St,FA16,1,"407,475,497","-740,359,746"
801 Bergen Street,FA2,5,"40,678,131","-739,613,218"
801 Cleveland Street,Houston FA 1,11,"297,540,215","-953,765,738"
801 Ocean Avenue,Mitch,2,"406,430,186","-739,593,209"
802 Cleveland Street,Houston FA 1,6,"297,549,148","-953,766,975"
806 Ocean Avenue,Mitch,3,"406,428,555","-739,599,234"
806 Westchester Avenue,Mitch,1,"408,185,238","-739,028,923"
808 Columbus Ave,FA4,1,"407,946,801","-739,666,433"
808 Columbus Ave,FA14,5,"407,946,801","-739,666,433"
809 Ocean Avenue,Mitch,3,"406,428,912","-73,959,199"
810 Ocean Avenue,Mitch,3,"40,642,717","-739,599,004"
814 10th Avenue,Mitch,4,"407,672,591","-739,895,684"
820 Henderson Avenue,Mitch,1,"406,366,183","-741,191,809"
822 Ocean Avenue,Mitch,3,"406,424,159","-739,599,429"
824 Bering Drive,Dallas FA 2,1,"327,252,367","-971,168,338"
831 Gerard Avenue,Mitch,2,"40,826,668","-739,257,407"
832 Ocean Avenue,Mitch,4,"406,420,611","-739,598,921"
835 Ocean Avenue,Mitch,1,"406,423,675","-739,592,085"
850 Howard Avenue,Mitch,1,"406,128,578","-740,990,818"
854 Ocean Avenue,Mitch,2,"406,417,443","-739,598,914"
855 Ocean Avenue,Mitch,2,"40,641,879","-739,591,739"
880 Bergen Avenue,FA11,5,"407,290,014","-740,657,894"
881 10th Avenue,Mitch,6,"407,695,187","-739,884,996"
885 10th Avenue,Mitch,11,"407,697,379","-739,884,846"
888 8th Ave,FA16,5,"407,637,113","-739,848,426"
889 Bushwick Avenue,Mitch,1,"406,937,899","-739,250,748"
900 Ave at Port Imperial,FA14,2,"407,747,576","-74,011,972"
900 Avenue North,Dallas FA 1,18,"327,772,997","-970,531,353"
900 Avenue North,Dallas FA 2,1,"327,772,997","-970,531,353"
900 Grange Hall Drive,Dallas FA 2,12,"328,415,238","-970,678,766"
900 Mill Crossing Place,Dallas FA 2,1,"327,796,539","-970,961,981"
900 Monroe St,FA16,1,"407,492,163","-740,376,694"
901 Cleveland Street,Houston FA 1,5,"297,542,606","-953,773,612"
901 Grange Hall Drive,Dallas FA 2,13,"328,421,999","-970,669,352"
902 Cleveland Street,Houston FA 1,4,"297,546,763","-953,774,084"
907 Pinion Drive,Mitch,1,"326,463,994","-971,241,346"
908 South Mesquite Street,Dallas FA 2,1,"327,261,278","-971,048,878"
909 Clinton Street,FA8,1,"40,748,556","-740,320,434"
912 Greek Row Drive,Mitch,10,"327,304,687","-971,201,332"
916 UTA Boulevard,Mitch,3,"327,342,166","-971,183,341"
917 Clinton Street,Mitch,2,"407,489,195","-740,318,713"
919 Gillette Street,Houston FA 1,37,"29,758,304","-95,382,095"
927 McKinney Park Lane,Houston FA 3,1,"297,456,211","-953,457,394"
941 Fulton Street,Mitch,1,"406,832,659","-739,652,876"
959 1st Ave,FA11,1,"407,557,059","-739,652,383"
996 Aldus Street,FA3,1,"408,229,929","-738,888,522"
1000 Lake Carolyn Parkway,Dallas FA 1,6,"328,711,428","-969,355,062"
1001 Cleveland Street,Houston FA 1,2,"297,542,097","-953,782,339"
1001 Lake Carolyn Pkwy,Dallas FA 2,8,"328,715,493","-969,344,997"
1001 South Center Street,Dallas FA 2,23,"3,273,034,535","-970,549,496"
1001 South Cooper Street,Dallas FA 2,1,"32,727,098","-97,113,911"
1001 UTA Boulevard,Mitch,22,"327,342,979","-971,190,657"
1009 Redleaf Drive,Mitch,1,"326,483,751","-9,712,599"
1010 South Heatherwilde Boulevard,Mitch,6,"30,438,227","-97,647,104"
1011 Redleaf Drive,Mitch,1,"326,483,792","-971,263,055"
1020 Grand Concourse,FA11,1,"408,301,222","-739,202,611"
1042 Kirby Drive,Houston FA 1,1,"297,565,204","-954,159,683"
1050 Flower Mound Road,Dallas FA 1,1,"330,112,277","-97,044,098"
1050 Lake Carolyn Parkway,Dallas FA 1,2,"328,720,732","-969,361,211"
1062 Stonum Lane,Mitch,1,"377,881,842","-1,212,403,922"
1075 Ocean Parkway,FA11,2,"40,622,324","-739,695,073"
1093 Bedford Avenue,Mitch,1,"406,863,956","-739,543,021"
1095 Brittmoore Road,Houston FA 3,22,"297,884,011","-955,700,838"
1095 Brittmoore Road,Mitch,1,"297,884,011","-955,700,838"
1100 Lake Carolyn Parkway,Dallas FA 1,12,"32,872,961","-969,356,889"
1100 Peters Street,FA9,2,"327,717,752","-967,949,861"
1105 46th Avenue,Mitch,1,"407,465,583","-739,499,193"
1106 Boynton Avenue,Mitch,1,"408,263,138","-738,775,527"
1109A 46th Avenue,Mitch,1,"407,465,142","-739,496,741"
1111 Blalock Road,Houston FA 3,1,"297,882,398","-955,226,799"
1111A 46th Avenue,Mitch,1,"407,465,137","-7,394,963"
1119 Ocean Parkway,FA11,4,"40,621,071","-73,969,227"
1128 Janell Drive,Dallas FA 1,1,"328,470,986","-969,607,367"
1130 Brighton Beach Avenue,Mitch,1,"405,775,515","-739,562,453"
1154 Ward Avenue,Mitch,2,"408,279,858","-738,768,706"
1171 Ocean Parkway,FA11,4,"406,200,749","-739,689,627"
1201 Hudson Street,FA1,1,"407,508,206","-740,255,295"
1201 Ocean Parkway,FA11,1,"40,619,285","-739,688,311"
1202 Milam Street,Houston FA 1,1,"297,562,405","-953,683,213"
1209 Dekalb ave,Mitch,4,"406,957,245","-739,279,452"
1213 Ave Z,FA11,6,"405,881,167","-739,575,194"
1224 Greenhouse Road,Houston FA 3,1,"297,719,217","-957,048,889"
1225 Ocean Parkway,FA11,3,"406,185,397","-73,968,665"
1250 Ocean Parkway,FA11,4,"406,180,698","-739,699,744"
1269 Dekalb Avenue,Mitch,1,"40,696,907","-739,267,729"
1275 East 5th Street,FA11,3,"406,196,386","-739,707,307"
1293 East 5th Street,FA11,3,"406,195,811","-739,706,361"
1299 Ocean Avenue,Mitch,1,"40,630,804","-73,956,976"
1300 Avenue At Port Imperial,FA14,1,"407,731,429","-740,130,758"
1305 Decatur Street,Mitch,1,"406,911,102","-73,905,463"
1305 Delmar Loop,Mitch,2,"406,494,975","-738,821,506"
1307 Willard Street,Mitch,1,"297,508,444","-953,955,489"
1314 Ocean Parkway,FA11,1,"406,164,104","-739,696,577"
1315 West 7th Street,FA3,3,"406,130,078","-739,813,921"
1319 Bomar Street,Mitch,1,"29,751,481","-953,967,046"
1320 3rd Avenue,Mitch,1,"407,720,633","-739,592,043"
1320 York Avenue,Mitch,72,"407,658,246","-739,541,459"
1321 76th Street,FA16,1,"406,194,887","-740,073,178"
1330 Park West Green Drive,Houston FA 3,15,"297,900,082","-957,910,484"
1333 Shore District Drive,Mitch,16,"302,432,974","-977,272,428"
1350 East 5th Street,FA11,2,"406,178,791","-739,709,274"
1350 Ocean Parkway,FA11,3,"406,157,378","-739,696,944"
1360 Ocean Pkwy,FA11,2,"406,153,364","-739,693,662"
1360 York Avenue,Mitch,9,"40,766,993","-73,953,237"
1365 West 7th Street,FA11,5,"406,118,207","-739,811,205"
1375 East 18th Street,FA11,3,"406,169,725","-73,956,647"
1380 York Avenue,Mitch,8,"40,767,884","-739,526,589"
1385 York Avenue,Mitch,21,"407,679,086","-739,535,088"
1388 West 6th Street,FA3,1,"40,611,446","-739,806,613"
1401 66th Street,Mitch,1,"406,240,395","-739,996,334"
1402 West 4th Street,FA3,2,"406,118,818","-739,788,248"
1411 Avenue V,FA11,1,"405,969,616","-73,956,501"
1411 West 4th Street,FA3,1,"40,611,491","-73,978,123"
1420 Ocean Parkway,FA11,5,"406,138,639","-739,691,709"
1420 York Avenue,Mitch,16,"407,690,013","-739,518,302"
1423 Summit Avenue,Dallas FA 2,1,"327,438,795","-973,413,971"
1424 Summit Avenue,Dallas FA 2,27,"327,440,102","-973,427,705"
1440 Ocean Parkway,FA11,2,"40,613,363","-739,690,907"
1440 Ocean Parkway,Mitch,1,"40,613,363","-739,690,907"
1494 Ocean Avenue,Mitch,3,"406,254,628","-739,567,847"
1500 Ave at Port Imperial,FA14,2,"40,772,472","-740,133,124"
1500 Crossing Place,FA9,4,"302,342,343","-977,160,848"
1500 Ocean Parkway,FA11,3,"40,612,086","-739,688,152"
1500 Ocean Parkway,Mitch,1,"40,612,086","-739,688,152"
1500 Washington Street,FA1,1,"407,549,262","-740,256,124"
1501 East Howard Lane,Austin FA 2,5,"304,046,542","-976,422,041"
1502 Partnership Way,Houston FA 3,21,"297,950,315","-957,715,334"
1505 Ocean Avenue,Mitch,1,"406,252,465","-739,561,124"
1506 Ocean Avenue,Mitch,4,"406,252,017","-73,956,733"
1510 Ocean Parkway,FA11,5,"406,115,714","-739,690,027"
1514 West 11th Street,FA11,1,"406,095,178","-73,985,069"
1521 Ocean Avenue,Mitch,4,"40,624,934","-739,558,793"
1525 Caroline Street,FA9,1,"29,750,831","-953,654,329"
1525 West 11th Street,FA11,2,"406,095,944","-739,845,181"
1532 Ocean Avenue,Mitch,2,"406,245,988","-739,566,929"
1544 Ocean Parkway,FA11,3,"406,110,129","-739,684,664"
1550 Westborough Drive,Houston FA 3,16,"297,886,571","-957,302,701"
1555 Elm St,FA9,22,"327,816,561","-967,988,344"
1558 Ocean Parkway,FA11,1,"406,105,295","-739,684,931"
1560 Ocean Parkway,FA11,2,"406,107,006","-739,687,264"
1569 Ocean Avenue,FA13,1,"406,238,043","-739,557,286"
1577 East 17th Street,FA11,4,"406,117,116","-73,956,647"
1589 East 172nd Street,Mitch,1,"408,318,781","-738,763,575"
1590 West 8th Street,FA3,2,"4,060,816","-73,981,962"
1590 West 8th Street,FA11,1,"4,060,816","-73,981,962"
1599 West 10th Street,FA3,2,"406,081,096","-739,833,243"
1600 Avenue T,FA11,2,"406,008,577","-739,556,827"
1600 Ocean Parkway,FA11,1,"406,098,207","-739,684,181"
1600 Pacific Avenue,FA9,1,"327,821,244","-967,989,726"
1600 Park Street,Mitch,1,"297,516,021","-95,403,267"
1601 3rd Avenue,FA13,7,"40,781,306","-739,514,716"
1601 3rd Avenue,Mitch,1,"40,781,306","-739,514,716"
1601 65th Street,FA3,4,"406,220,426","-739,944,787"
1601 Beverley Road,Mitch,9,"406,447,153","-739,638,737"
1601 Ocean Parkway,FA11,6,"406,091,492","-739,669,327"
1601 South Heatherwilde Boulevard,FA9,2,"304,307,516","-976,530,012"
1601 South Heatherwilde Boulevard,Mitch,5,"304,307,516","-976,530,012"
1602 Enclave Parkway,Houston FA 1,1,"297,484,927","-956,191,608"
1602 West 10th Street,FA11,2,"406,073,427","-739,836,457"
1608 Ocean Parkway,FA11,5,"40,609,546","-739,683,324"
1616 Partnership Way,Houston FA 3,29,"297,962,203","-957,731,014"
1616 Partnership Way,Mitch,1,"297,962,203","-957,731,014"
1620 Ocean Avenue,FA13,1,"406,227,412","-739,560,399"
1621 65th Street,FA3,2,"406,218,259","-739,941,136"
1622 Ocean Parkway,FA11,7,"406,089,127","-739,682,642"
1623 3rd Avenue,FA12,19,"40,782,363","-739,510,423"
1640 East T C Jester Boulevard,Houston FA 1,6,"297,992,581","-954,227,976"
1641 65th Street,FA3,2,"406,216,031","-739,937,693"
1648 West 9th Street,FA3,3,"406,063,686","-739,827,132"
1650 Ocean Parkway,FA11,2,"406,081,926","-739,681,665"
1650 West 10th Street,FA11,1,"40,606,575","-739,834,162"
1653 65th Street,FA3,2,"406,212,929","-739,932,183"
1660 West T C Jester Boulevard,Mitch,12,"297,992,008","-954,258,463"
1680 Ocean Avenue,FA13,1,"406,211,681","-739,559,582"
1681 65th Street,FA3,2,"40,621,079","-73,992,846"
1684 West 10th Street,FA11,2,"40,605,843","-73,983,414"
1688 York Avenue,FA12,1,"40,777,583","-73,945,587"
1693 65th Street,FA3,1,"406,208,576","-739,925,735"
1700 Albemarle Road,Mitch,2,"406,466,899","-739,631,043"
1700 Katy Fort Bend Road,Houston FA 3,19,"297,963,087","-958,009,019"
1701 Albemarle Road,Mitch,5,"406,471,639","-73,963,294"
1701 South Heatherwilde Boulevard,Mitch,9,"304,310,457","-976,551,077"
1704 Barker Cypress Road,Houston FA 3,16,"297,920,945","-956,882,594"
1710 North Beckley Avenue,Dallas FA 2,1,"327,656,349","-968,228,556"
1710 T C Jester Boulevard,Mitch,2,"29,800,326","-954,275,447"
1710 West T C Jester Boulevard,Mitch,8,"298,004,185","-954,274,647"
1716 Avenue T,FA11,3,"406,012,146","-739,542,627"
1717 Avenue N,FA11,2,"406,160,903","-739,572,439"
1717 San Antonio Drive,FA9,1,"329,285,781","-966,532,677"
1719 Commonwealth Street,Mitch,1,"297,514,971","-95,398,648"
1720 Commonwealth Street,Mitch,1,"297,517,006","-953,988,357"
1721 Greenhouse Road,Houston FA 3,8,"297,885,947","-957,065,943"
1725 Main Street,Mitch,1,"29,751,253","-953,692,101"
1734 73rd Street,FA11,1,"406,153,185","-739,964,435"
1751 2nd Avenue,FA12,5,"407,813,419","-739,495,509"
1751 2nd Avenue,Mitch,22,"407,813,419","-739,495,509"
1755 Wyndale Street,Houston FA 1,26,"29,702,947","-953,948,024"
1763 2nd Avenue,FA12,9,"407,817,855","-739,495,346"
1763 2nd Avenue,Mitch,47,"407,817,855","-739,495,346"
1770 West 6th Street,FA3,3,"406,041,719","-739,792,694"
1777 N Record St,Dallas FA 1,6,"327,819,582","-968,083,044"
1777 N Record St,FA9,11,"327,819,582","-968,083,044"
1777 Ocean Parkway,FA11,1,"406,056,211","-739,663,357"
1800 Barker Cypress Road,Houston FA 1,1,"297,931,895","-956,849,581"
1800 Barker Cypress Road,Houston FA 3,6,"297,931,895","-956,849,581"
1800 El Paseo Street,Mitch,4,"296,886,213","-95,397,143"
1800 Ocean Parkway,FA11,6,"40,605,207","-739,674,158"
1800 Saint Joseph Parkway,Houston FA 1,9,"297,456,818","-953,630,013"
1801 Avenue N,FA11,2,"406,162,049","-739,564,174"
1802 Ocean Parkway,FA11,1,"406,044,751","-739,675,296"
1805 Valentine Street,Houston FA 1,3,"29,752,502","-953,785,479"
1806 Ocean Avenue,FA11,1,"40,617,792","-739,552,005"
1809 Albemarle Road,Mitch,3,"406,473,852","-739,624,787"
1809 Beverley Road,Mitch,1,"406,448,968","-739,618,358"
1809 Social Drive,Austin FA 2,13,"304,442,419","-976,433,807"
1810 Avenue N,FA11,3,"406,157,756","-739,564,978"
1810 Hollyoak Drive,Houston FA 1,1,"297,935,829","-956,831,238"
1811 Ocean Parkway,FA11,5,"406,035,157","-739,663,587"
1811 Quentin Road,FA11,4,"406,087,284","-739,552,462"
1811 Quentin Road,Mitch,2,"406,087,284","-739,552,462"
1819 Beverley Road,Mitch,3,"40,644,938","-739,614,455"
1821 Valentine Street,Houston FA 1,1,"297,522,885","-953,785,814"
1822 Barker Cypress Road,Houston FA 3,20,"297,940,939","-95,687,824"
1831 Madison Avenue,Mitch,11,"408,021,443","-739,430,084"
1845 82nd Street,FA3,2,"406,087,797","-739,987,295"
1845 Ocean Avenue,FA11,1,"406,171,234","-739,544,428"
1850 82nd Street,FA3,1,"406,083,621","-739,987,505"
1850 Ocean Avenue,FA11,2,"40,616,865","-739,551,089"
1850 Ocean Parkway,FA11,3,"4,060,363","-739,673"
1854 Ocean Avenue,FA11,5,"406,166,281","-739,550,398"
1857 85th Street,FA3,1,"406,070,255","-740,004,214"
1860 Ocean Parkway,FA11,1,"406,032,129","-739,671,429"
1864 85th Street,FA3,2,"406,065,228","-740,002,993"
1865 Ocean Avenue,FA11,3,"406,164,997","-739,543,256"
1866 Ocean Avenue,FA11,3,"406,163,186","-739,550,398"
1869 83rd Street,FA3,4,"406,081,354","-739,990,485"
1877 Ocean Avenue,FA11,1,"406,158,496","-739,541,488"
1895 2nd Avenue,Mitch,1,"407,858,889","-739,469,227"
1900 Albemarle Road,FA11,1,"406,470,145","-73,961,388"
1900 Albemarle Road,Mitch,1,"406,470,145","-73,961,388"
1900 Avenue W,FA11,2,"405,945,659","-739,512,633"
1900 N Beckley Ave,Dallas FA 2,17,"327,673,879","-96,821,698"
1901 84th Street,FA3,3,"406,069,925","-73,998,796"
1901 Avenue N,FA11,3,"406,163,065","-73,955,499"
1902 Beverley Road,Mitch,2,"406,445,992","-739,608,329"
1903 Ocean Avenue,FA11,2,"40,615,348","-739,541,046"
1909 Quentin Road,FA11,1,"406,089,928","-739,541,214"
1911 Albemarle Road,Mitch,7,"406,474,622","-739,613,224"
1911 Holcombe Boulevard,Houston FA 1,1,"297,069,917","-953,896,499"
1914 Park Street,Mitch,1,"29,748,617","-95,403,227"
1918 Park Street,Mitch,1,"297,485,388","-954,031,791"
1921 Avenue K,FA13,1,"4,062,347","-739,564,191"
1925 Quentin Road,FA11,3,"406,090,692","-739,535,703"
1930 Broadway,FA14,6,"407,724,936","-739,818,735"
1935 83rd Street,FA3,3,"406,071,739","-73,997,465"
1947 Ocean Avenue,FA11,1,"4,061,426","-739,538,918"
1952 2nd Avenue,Mitch,1,"407,869,944","-739,446,663"
1970 East 18th Street,FA11,2,"406,022,227","-739,543,969"
1976 2nd Avenue,Mitch,2,"40,787,686","-73,944,289"
1978 2nd Avenue,Mitch,3,"407,877,779","-739,442,923"
1980 2nd Avenue,Mitch,1,"4,078,779","-739,442,125"
1998 2nd Avenue,Mitch,1,"407,884,893","-73,943,643"
2000 84th Street,FA3,4,"406,053,412","-739,968,333"
2000 N Bayshore Dr,Mitch,1,"257,957,902","-801,873,757"
2000 Quentin Road,FA11,2,"406,086,628","-739,527,674"
2001 Avenue P,FA11,3,"406,111,514","-73,953,444"
2001 Mayfield Villa Drive,Mitch,1,"326,911,465","-970,766,945"
2005 Mayfield Villa Drive,Mitch,1,"326,910,705","-970,749,293"
2006 Vermont Street,Mitch,1,"297,492,858","-954,082,949"
2011 Ocean Avenue,FA11,2,"406,127,688","-739,537,142"
2015 Dorchester Road,Mitch,3,"406,421,463","-739,587,919"
2015 Shore Parkway,FA3,5,"405,869,465","-739,903,017"
2016 Avenue N,FA11,3,"406,159,811","-73,953,754"
2020 Business Center Drive,Houston FA 1,24,"295,746,722","-953,925,952"
2021 84th Street,FA3,4,"406,055,475","-739,963,632"
2025 Broadway,FA14,13,"407,770,746","-739,824,749"
2026 Ocean Avenue,FA11,2,"406,122,921","-739,542,766"
2035 East 16th Street,FA11,3,"406,003,673","-73,955,499"
2040 Greenhouse Road,Houston FA 3,1,"2,979,181","-957,052,644"
2044 East 18th Street,FA11,1,"406,003,133","-739,540,295"
2050 East 18th Street,FA11,1,"405,999,264","-739,540,295"
2050 Homecrest Avenue,FA11,1,"405,995,857","-739,596,526"
2055 Ocean Avenue,FA11,2,"406,120,431","-739,535,291"
2060 Ocean Avenue,FA11,3,"406,117,269","-739,543,051"
2080 Ocean Avenue,FA11,2,"406,112,105","-739,539,377"
2100 Franciscan Drive,Mitch,1,"326,978,108","-971,180,602"
2101 Bay Ridge Parkway,FA3,2,"406,096,265","-739,891,093"
2101 Bay Ridge Parkway,FA11,3,"406,096,265","-739,891,093"
2101 Taylor Street,Dallas FA 1,1,"32,778,018","-9,678,944"
2104 Mayfield Villa Drive,Mitch,1,"326,894,727","-970,764,983"
2108 Dorchester Road,Mitch,2,"40,641,901","-73,958,183"
2110 Baldwin Street,Houston FA 1,2,"297,522,721","-953,778,558"
2121 82nd Street,FA3,4,"406,053,754","-739,929,658"
2121 Allen Parkway,Houston FA 1,56,"297,599,362","-953,907,649"
2121 Shore Parkway,FA3,4,"405,856,282","-739,879,851"
2126 Benson Avenue,FA3,3,"406,007,114","-739,971,896"
2147 East 17th Street,FA11,2,"405,978,882","-739,538,459"
2155 82nd Street,FA3,4,"406,047,809","-739,920,476"
2157 Ocean Avenue,FA11,3,"406,090,552","-739,529,275"
2185 2nd Avenue,FA14,1,"407,949,416","-73,939,679"
2195 East 22nd Street,FA11,1,"405,978,934","-739,487,701"
2200 North Beckley Avenue,Dallas FA 2,1,"327,700,709","-96,822,862"
2200 Ocean Avenue,FA11,4,"406,081,473","-739,534,539"
2200 South Pleasant Valley Road,Mitch,11,"302,310,722","-977,260,745"
2209 Commonwealth Street,Mitch,1,"297,483,631","-953,967,327"
2210 Dorrington Street,Mitch,1,"297,058,957","-954,101,526"
2210 West Dallas Street,Houston FA 1,14,"297,581,853","-953,894,562"
2218 Greenhouse Road,Houston FA 3,8,"297,956,833","-957,037,636"
2219 Greenhouse Road,Houston FA 3,5,"297,962,374","-957,068,578"
2221 West Dallas Street,Houston FA 1,15,"297,564,534","-953,904,348"
2222 Maroneal Street,Mitch,6,"297,038,301","-954,104,815"
2223 Hawes Ave,Dallas FA 2,10,"32,827,066","-96,850,183"
2225 Benson Avenue,FA3,4,"405,998,731","-739,944,192"
2246 Ocean Avenue,FA11,3,"406,068,505","-73,953,203"
2255 Benson Avenue,FA3,3,"405,993,413","-739,938,406"
